NORDENTRANS;CODENCUEST;ANO;MES;RESULTA;FECRESULTA;ENVIO;TIPOREGIST;SGSPRIGRAB;SGSTOTDEPU;NUMACCDEPU;SWGESTORIA;CODTAME
026000089SS;S;2015;1;6;05/02/2015;11502;W;0;45;1;0;0
026000089SS;S;2015;2;6;05/03/2015;21502;W;0;10;1;0;0
026000089SS;S;2015;3;6;06/04/2015;31502;W;0;8;1;0;0
026000089SS;S;2015;4;6;19/05/2015;41502;W;0;61;3;0;0
026000089SS;S;2015;5;6;05/06/2015;51502;W;0;21;1;0;0
026000089SS;S;2015;6;6;07/07/2015;61502;W;0;16;1;0;0
026000089SS;S;2015;7;6;18/08/2015;71502;W;0;453;2;0;0
026000089SS;S;2015;8;6;07/09/2015;81502;W;0;24;1;0;0
026000089SS;S;2015;9;6;07/10/2015;91502;W;0;14;1;0;0
026000089SS;S;2015;10;6;04/11/2015;101502;W;0;13;1;0;0
026000089SS;S;2015;11;6;17/12/2015;111502;W;0;35;2;0;0
026000089SS;S;2015;12;6;19/01/2016;121502;W;0;49;3;0;0
088000449MM;M;2015;1;6;16/02/2015;11502;W;0;66;1;0;12
088000449MM;M;2015;2;6;03/03/2015;21502;W;0;86;1;0;12
088000449MM;M;2015;3;6;06/04/2015;31502;W;0;10;2;0;12
088000449MM;M;2015;4;6;06/05/2015;41502;W;0;16;1;0;12
088000449MM;M;2015;5;6;04/06/2015;51502;W;0;35;1;0;12
088000449MM;M;2015;6;6;06/07/2015;61502;W;0;13;1;0;12
088000449MM;M;2015;7;6;14/08/2015;71502;W;0;55;2;0;12
088000449MM;M;2015;8;6;14/09/2015;81502;W;0;23;1;0;12
088000449MM;M;2015;9;6;07/10/2015;91502;W;0;25;2;0;12
088000449MM;M;2015;10;6;03/11/2015;101502;W;0;14;1;0;12
088000449MM;M;2015;11;6;04/12/2015;111502;W;0;52;1;0;12
088000449MM;M;2015;12;6;18/01/2016;121502;W;0;50;3;0;12
040010062MM;M;2015;9;6;14/10/2015;91502;T;62;18;2;0;12
040010062MM;M;2015;10;6;13/11/2015;101502;W;0;62;2;0;12
040010062MM;M;2015;11;6;02/12/2015;111502;W;0;27;1;0;12
040010062MM;M;2015;12;6;11/01/2016;121502;W;0;12;1;0;12
034010928MM;M;2015;1;6;09/03/2015;21502;T;36;39;2;0;13
034010928MM;M;2015;2;6;05/03/2015;21502;W;0;21;4;0;13
034010928MM;M;2015;3;6;10/04/2015;31502;W;0;14;1;0;13
034010928MM;M;2015;4;6;06/05/2015;41502;W;0;19;1;0;13
034010928MM;M;2015;5;6;05/06/2015;51502;W;0;16;1;0;13
034010928MM;M;2015;6;6;06/07/2015;61502;W;0;12;1;0;13
034010928MM;M;2015;7;6;05/08/2015;71502;W;0;11;1;0;13
034010928MM;M;2015;8;6;04/09/2015;81502;W;0;45;1;0;13
034010928MM;M;2015;9;6;07/10/2015;91502;W;0;43;1;0;13
034010928MM;M;2015;10;6;03/11/2015;101502;W;0;56;2;0;13
034010928MM;M;2015;11;6;03/12/2015;111502;W;0;71;1;0;13
034010928MM;M;2015;12;6;11/01/2016;121502;W;0;56;1;0;13
051010953MM;M;2015;1;6;11/02/2015;11502;W;0;8;1;0;0
051010953MM;M;2015;2;6;12/03/2015;21502;W;0;16;1;0;0
051010953MM;M;2015;3;6;09/04/2015;31502;W;0;10;1;0;0
051010953MM;M;2015;4;6;15/05/2015;41502;W;0;12;1;0;0
051010953MM;M;2015;5;6;11/06/2015;51502;W;0;20;1;0;0
051010953MM;M;2015;6;6;13/07/2015;61502;W;0;12;1;0;0
051010953MM;M;2015;7;6;14/08/2015;71502;T;22;11;1;0;0
051010953MM;M;2015;8;6;15/09/2015;81502;W;0;11;1;0;0
051010953MM;M;2015;9;6;15/10/2015;91502;W;0;12;1;0;0
051010953MM;M;2015;10;6;12/11/2015;101502;W;0;15;1;0;0
051010953MM;M;2015;11;6;09/12/2015;111502;W;0;12;1;0;0
051010953MM;M;2015;12;6;11/01/2016;121502;W;0;30;1;0;0
051010996MM;M;2015;1;6;23/02/2015;21502;W;0;39;1;1;12
051010996MM;M;2015;2;6;16/03/2015;21502;W;0;27;1;1;12
051010996MM;M;2015;3;6;17/04/2015;31502;W;0;37;1;1;12
051010996MM;M;2015;4;6;14/05/2015;41502;W;0;423;1;1;12
051010996MM;M;2015;5;6;18/06/2015;51502;W;0;38;1;1;12
051010996MM;M;2015;6;6;20/07/2015;61502;W;0;42;2;1;12
051010996MM;M;2015;7;6;12/08/2015;71502;W;0;19;1;1;12
051010996MM;M;2015;8;6;17/09/2015;81502;W;0;8;1;1;12
051010996MM;M;2015;9;6;20/10/2015;101502;W;0;14;1;1;12
051010996MM;M;2015;10;6;17/11/2015;101502;W;0;10;2;1;12
051010996MM;M;2015;11;6;14/12/2015;111502;W;0;12;1;1;12
051010996MM;M;2015;12;6;12/01/2016;121502;W;0;199;4;1;12
074010914MM;M;2015;1;6;09/02/2015;11502;W;0;46;1;1;0
074010914MM;M;2015;2;6;16/03/2015;21502;W;0;29;1;1;0
074010914MM;M;2015;3;6;10/04/2015;31502;W;0;15;1;1;0
074010914MM;M;2015;4;6;12/05/2015;41502;W;0;26;1;1;0
074010914MM;M;2015;5;6;16/06/2015;51502;W;0;45;1;1;0
074010914MM;M;2015;6;6;09/07/2015;61502;W;0;44;1;1;0
074010914MM;M;2015;7;6;07/08/2015;71502;W;0;17;1;1;0
074010914MM;M;2015;8;6;10/09/2015;81502;W;0;16;1;1;0
074010914MM;M;2015;9;6;09/10/2015;91502;W;0;13;1;1;0
074010914MM;M;2015;10;6;17/11/2015;101502;W;0;56;1;1;0
074010914MM;M;2015;11;6;15/12/2015;111502;W;0;11;1;1;0
074010914MM;M;2015;12;6;19/01/2016;11602;W;0;49;1;1;0
070010916MM;M;2015;1;6;12/02/2015;11502;W;0;11;1;1;12
070010916MM;M;2015;2;6;05/03/2015;21502;W;0;16;2;1;12
070010916MM;M;2015;3;6;20/04/2015;31502;T;36;10;1;1;12
070010916MM;M;2015;4;6;18/05/2015;41502;W;0;11;1;1;12
070010916MM;M;2015;5;6;10/06/2015;51502;W;0;9;1;1;12
070010916MM;M;2015;6;6;15/07/2015;61502;W;0;12;1;1;12
070010916MM;M;2015;7;6;19/08/2015;81502;W;0;14;1;1;12
070010916MM;M;2015;8;6;07/09/2015;81502;W;0;10;1;1;12
070010916MM;M;2015;9;6;02/10/2015;91502;W;0;11;1;1;12
070010916MM;M;2015;10;6;05/11/2015;101502;W;0;11;2;1;12
070010916MM;M;2015;11;6;02/12/2015;111502;W;0;15;1;1;12
070010916MM;M;2015;12;6;05/01/2016;121502;W;0;21;1;1;12
070010917MM;M;2015;1;6;18/02/2015;11502;W;0;12;1;1;13
070010917MM;M;2015;2;6;06/03/2015;21502;W;0;16;1;1;13
070010917MM;M;2015;3;6;07/04/2015;31502;W;0;19;1;1;13
070010917MM;M;2015;4;6;07/05/2015;41502;W;0;16;1;1;13
070010917MM;M;2015;5;6;04/06/2015;51502;W;0;19;1;1;13
070010917MM;M;2015;6;6;08/07/2015;61502;W;0;7;1;1;13
070010917MM;M;2015;7;6;04/08/2015;71502;W;0;9;1;1;13
070010917MM;M;2015;8;6;04/09/2015;81502;W;0;18;1;1;13
070010917MM;M;2015;9;6;07/10/2015;91502;W;0;11;1;1;13
070010917MM;M;2015;10;6;06/11/2015;101502;W;0;12;1;1;13
070010917MM;M;2015;11;6;03/12/2015;111502;W;0;94;1;1;13
070010917MM;M;2015;12;6;11/01/2016;121502;W;0;26;1;1;13
077010937MM;M;2015;1;6;20/02/2015;21502;T;42;8;2;0;0
077010937MM;M;2015;2;6;16/03/2015;21502;T;26;86;1;0;0
077010937MM;M;2015;3;6;17/04/2015;31502;T;31;117;2;0;0
077010937MM;M;2015;4;6;11/05/2015;41502;T;19;57;1;0;0
077010937MM;M;2015;5;6;09/06/2015;51502;T;25;23;2;0;0
077010937MM;M;2015;6;6;07/07/2015;61502;T;22;16;1;0;0
077010937MM;M;2015;7;6;13/08/2015;71502;T;22;26;1;0;0
