"Media_dias_adelanto";"Veces_adelanto";"Media_dias_tarde";"Veces_atraso";"Blanco";"Incidencia";"No_Contacto";"No_Enviara";"Enviara";"Limpio";"Baja";"Depuracion";"Inc_Definitiva";"Inc_Provisional";"NoRecogido";"Tipo_Carta";"Tipo_Email";"Tipo_Fax";"Tipo_Otros";"Tipo_Telefono";"Tipo_Web";"Tiene_Gestoria";"No_Tiene_Gestoria"
"000020001MM";6.06451612903226;31;41.4;5;0;0;5.55555555555556;63.8888888888889;13.8888888888889;13.8888888888889;0;2.77777777777778;0;0;83.3333333333333;0;0;5.55555555555556;0;0;11.1111111111111;0;100
"001020063MM";10.5833333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"001070263SS";9.18181818181818;11;31;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"001080067MM";13;4;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"001090914MM";10.0555555555556;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"003070211MM";12.8333333333333;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"003090947MM";16;1;13.6363636363636;11;0;0;0;0;0;0;83.3333333333333;0;16.6666666666667;0;100;0;0;0;0;0;0;100;0
"0031189510M";8.25;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"005020795SS";12.3611111111111;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"006040480MM";13.0277777777778;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"006090919MM";11.1515151515152;33;47;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"007040676MM";9.63888888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"007070264MM";9.81818181818182;33;32.3333333333333;3;0;0;0;0;0;100;0;0;0;0;0;2.77777777777778;0;0;0;97.2222222222222;0;100;0
"007070364SS";9.28571428571429;7;2;5;0;0;0;0;0;0;0;0;58.3333333333333;41.6666666666667;100;0;0;0;0;0;0;0;100
"007070371MM";6.08;25;19.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"007070978MM";2.38461538461538;26;27;10;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;5.55555555555556;94.4444444444444;100;0
"007080266SS";14.3529411764706;34;22.5;2;0;0;0;8.33333333333333;0;91.6666666666667;0;0;0;0;8.33333333333333;0;0;0;0;0;91.6666666666667;100;0
"008070247MM";12.7333333333333;15;35;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;6.25;93.75;100;0
"0081189547M";7.94117647058824;34;40;2;0;0;0;0;0;100;0;0;0;0;0;0;2.77777777777778;0;0;0;97.2222222222222;0;100
"009070841MM";9;11;63;1;0;0;0;0;0;100;0;0;0;0;0;8.33333333333333;0;0;0;0;91.6666666666667;0;100
"009080265MM";6.57142857142857;7;60;6;0;0;0;15.3846153846154;15.3846153846154;69.2307692307692;0;0;0;0;30.7692307692308;30.7692307692308;0;0;0;0;38.4615384615385;0;100
"010020091MM";7.51851851851852;27;12.1111111111111;9;0;0;0;0;0;72.2222222222222;22.2222222222222;0;2.77777777777778;2.77777777777778;27.7777777777778;0;0;0;0;0;72.2222222222222;0;100
"010070377SS";19.25;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"010070384SS";12.75;16;0;0;0;0;0;0;0;93.75;0;0;0;6.25;6.25;0;0;0;0;31.25;62.5;0;100
"010070538MM";8.91428571428571;35;35;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"010070868MM";6.14285714285714;14;9;2;0;0;0;0;0;25;56.25;0;18.75;0;75;0;0;0;0;0;25;100;0
"0102290682M";10.3611111111111;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;100;0
"0111189330M";1.88461538461538;26;30.2;10;0;0;0;0;0;100;0;0;0;0;0;0;0;0;2.77777777777778;0;97.2222222222222;0;100
"0112290757M";7.82857142857143;35;15;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"012070846SS";16.037037037037;27;33;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0122290260M";6.67647058823529;34;39;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0122290909M";1.55172413793103;29;28;7;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"013070122MM";10.0833333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"013070263SS";8;4;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"013070519MM";10.7714285714286;35;26;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"013070572MM";3.75;8;44;28;0;0;0;0;2.77777777777778;97.2222222222222;0;0;0;0;2.77777777777778;0;94.4444444444444;0;0;2.77777777777778;0;100;0
"013070983MM";8.17142857142857;35;46;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"013080249SS";14.8333333333333;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"014070197SS";11;4;0;0;0;0;0;0;25;75;0;0;0;0;25;0;0;0;0;0;75;0;100
"014070249SS";18.5;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0142290106M";3.86111111111111;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"015020739MM";9.7;30;57;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0152290377M";12.4722222222222;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0152290379M";9.22857142857143;35;18;1;0;0;0;0;0;97.2222222222222;0;0;2.77777777777778;0;2.77777777777778;0;0;0;0;0;97.2222222222222;0;100
"016070337MM";3;2;25.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"016070554MM";6.60606060606061;33;28;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;2.77777777777778;0;97.2222222222222;100;0
"017070239MM";3.75757575757576;33;21.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;2.77777777777778;0;97.2222222222222;0;100
"0172290212M";11.09375;32;61;4;0;0;0;0;0;100;0;0;0;0;0;0;5.55555555555556;0;0;0;94.4444444444444;0;100
"018070166MM";8.73333333333333;15;30;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"0182290880M";10.3888888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"019070515MM";6.66666666666667;3;27;1;0;0;0;0;0;100;0;0;0;0;0;0;25;0;0;0;75;100;0
"019070918MM";10.4166666666667;24;63.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;3.57142857142857;0;17.8571428571429;78.5714285714286;85.7142857142857;14.2857142857143
"020080026MM";10.4285714285714;35;1;1;0;0;0;0;0;100;0;0;0;0;0;22.2222222222222;0;0;0;11.1111111111111;66.6666666666667;0;100
"020080113MM";11.3928571428571;28;33;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"020080158MM";6.57575757575758;33;32;3;0;0;0;0;0;100;0;0;0;0;0;0;2.77777777777778;0;0;0;97.2222222222222;100;0
"0209668480S";5.63636363636364;33;34;3;0;0;0;0;0;100;0;0;0;0;0;0;2.77777777777778;0;2.77777777777778;0;94.4444444444444;0;100
"021070127MM";5.58064516129032;31;30.8;5;0;0;0;0;0;100;0;0;0;0;0;0;55.5555555555556;0;0;2.77777777777778;41.6666666666667;100;0
"021070234SS";14.0285714285714;35;5;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"022070079MM";2;2;32.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"022070115SS";14.2727272727273;11;7;1;0;0;0;0;0;100;0;0;0;0;0;0;58.3333333333333;0;0;8.33333333333333;33.3333333333333;0;100
"022070880MM";9.42857142857143;7;0;0;0;0;0;0;0;0;71.4285714285714;0;0;28.5714285714286;100;0;0;0;0;0;0;0;100
"022080200SS";14.2083333333333;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"0222290422M";9.14285714285714;35;33;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0222290949M";9.69444444444444;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"023070091MM";6.97142857142857;35;60;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"024070189SS";11.2424242424242;33;12;3;0;0;0;0;0;83.3333333333333;0;0;0;16.6666666666667;16.6666666666667;0;80.5555555555556;0;0;2.77777777777778;0;100;0
"024070291MM";6.13636363636364;22;9;2;0;0;0;0;0;50;37.5;0;12.5;0;50;0;0;0;0;0;50;100;0
"024070873MM";11.8928571428571;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"025050095MM";9.02941176470588;34;18;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"026000089SS";15.4347826086957;23;7;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;4.16666666666667;95.8333333333333;0;100
"026070200MM";8.18518518518519;27;32;1;0;0;0;0;0;100;0;0;0;0;0;75;3.57142857142857;0;0;21.4285714285714;0;0;100
"0262290378M";9.57142857142857;35;19;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"027070256SS";10.3333333333333;3;14;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;25;75;0;100
"027070948MM";10.4857142857143;35;34;1;0;0;0;0;0;97.2222222222222;0;0;0;2.77777777777778;2.77777777777778;0;0;0;0;0;97.2222222222222;100;0
"028020065MM";8.71875;32;31.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;5.55555555555556;94.4444444444444;0;100
"028070125MM";9.6;35;31;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"028070217SS";14;20;37.5;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;8.33333333333333;91.6666666666667;0;100
"028070460MM";8.19444444444444;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"028070862MM";9.33333333333333;3;40;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"028080246MM";12.875;8;14;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"0282290277M";3.58823529411765;34;29;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"029080208MM";2;1;17.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;25;0;0;0;75;0;100
"030070109SS";9.14285714285714;21;36;3;0;0;0;0;0;100;0;0;0;0;0;4.16666666666667;0;0;0;0;95.8333333333333;0;100
"030070838MM";10.6666666666667;6;28;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"030090420MM";7.23076923076923;13;28.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;6.25;0;0;0;6.25;87.5;0;100
"031070854MM";9.73333333333333;15;31;1;0;0;0;0;0;100;0;0;0;0;0;6.25;43.75;0;0;43.75;6.25;0;100
"032070202MM";6.76923076923077;13;90.1666666666667;6;0;0;10.5263157894737;0;0;73.6842105263158;0;0;0;15.7894736842105;26.3157894736842;10.5263157894737;0;0;0;63.1578947368421;0;0;100
"032070808MM";13.7391304347826;23;14;1;0;0;0;0;0;50;29.1666666666667;0;0;20.8333333333333;50;0;0;0;0;0;50;100;0
"032080032SS";16.5;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"033070273MM";10.5277777777778;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"033070282MM";11.3793103448276;29;34.1428571428571;7;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"034010928MM";11.2941176470588;34;19.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"034070229SS";10.1428571428571;7;2;5;0;0;0;0;0;33.3333333333333;0;0;0;66.6666666666667;66.6666666666667;0;0;0;0;0;33.3333333333333;0;100
"034080061SS";18.3333333333333;12;0;0;0;0;0;0;0;33.3333333333333;0;0;0;66.6666666666667;66.6666666666667;0;0;0;0;0;33.3333333333333;100;0
"035070482MM";8.57142857142857;35;42;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"036040755SS";15.4166666666667;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;50;0;0;4.16666666666667;45.8333333333333;0;100
"036070118MM";5.66666666666667;6;24.5;2;0;0;50;12.5;0;37.5;0;0;0;0;62.5;0;0;0;0;0;37.5;0;100
"036070876MM";5.93103448275862;29;33.7142857142857;7;0;0;2.77777777777778;0;0;97.2222222222222;0;0;0;0;2.77777777777778;0;0;0;0;5.55555555555556;91.6666666666667;0;100
"037070216MM";12.65;20;13;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"037090441SS";11.5;6;73.5714285714286;7;0;0;7.69230769230769;0;0;92.3076923076923;0;0;0;0;7.69230769230769;0;38.4615384615385;0;7.69230769230769;0;46.1538461538462;92.3076923076923;7.69230769230769
"038070262SS";5.64285714285714;14;9.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;31.25;68.75;0;100
"039020084MM";6;1;13.6363636363636;11;0;0;0;0;0;0;83.3333333333333;0;16.6666666666667;0;100;0;0;0;0;0;0;0;100
"039070148SS";18.9166666666667;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;8.33333333333333;0;0;25;66.6666666666667;0;100
"039070264SS";11.7857142857143;14;29.5;2;0;0;0;0;0;75;0;0;0;25;25;0;0;0;0;18.75;56.25;0;100
"039070281MM";14.1388888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"040010062MM";11.4642857142857;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;3.57142857142857;96.4285714285714;0;100
"040070633MM";5.9375;32;28;4;0;0;0;0;2.77777777777778;97.2222222222222;0;0;0;0;2.77777777777778;0;0;0;0;2.77777777777778;94.4444444444444;0;100
"041070743MM";5.5;2;31;2;0;0;0;0;0;100;0;0;0;0;0;25;0;0;0;75;0;0;100
"042070428MM";5;6;10.1;10;0;0;25;0;0;0;56.25;0;18.75;0;100;0;0;0;0;0;0;0;100
"042070503MM";1;4;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"042080006MM";0;0;23;3;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"042080033SS";8.25;4;0;0;0;0;75;0;0;0;0;0;25;0;100;0;0;0;0;0;0;0;100
"043080009SS";12.9130434782609;23;7;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"043080030SS";8.5;12;2.08333333333333;12;0;0;0;0;0;50;0;0;50;0;50;0;0;0;0;0;50;100;0
"045070673MM";9.72222222222222;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"045080072SS";6.47368421052632;19;15;5;0;0;0;0;0;91.6666666666667;0;0;0;8.33333333333333;8.33333333333333;0;0;0;0;4.16666666666667;87.5;50;50
"0451138310M";10.0833333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;8.33333333333333;0;0;91.6666666666667;0;100
"047070459MM";12.7777777777778;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"047070743MM";8.68;25;48;11;0;0;0;2.77777777777778;0;97.2222222222222;0;0;0;0;2.77777777777778;0;97.2222222222222;0;0;0;0;0;100
"048070269SS";16.9166666666667;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;8.33333333333333;0;0;91.6666666666667;0;0;100
"048070596MM";9.78787878787879;33;34.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"048070862MM";13.0714285714286;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;3.57142857142857;0;0;0;96.4285714285714;0;100
"048080140MM";6.42857142857143;35;36;1;0;0;0;0;2.77777777777778;97.2222222222222;0;0;0;0;2.77777777777778;0;0;0;0;0;97.2222222222222;100;0
"050070131SS";15.875;16;0;0;0;0;0;0;0;100;0;0;0;0;0;0;6.25;0;0;0;93.75;0;100
"050070552MM";6.28125;32;19.75;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"050070635MM";14;2;16;2;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"050070848MM";12.5;12;56;4;0;0;0;0;6.25;87.5;0;0;0;6.25;12.5;25;0;0;0;0;62.5;0;100
"050070871MM";11.4571428571429;35;2;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"0502139133M";0.833333333333333;30;32.8333333333333;6;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;0;100
"051010953MM";6.84615384615385;26;29.9;10;0;0;0;0;0;72.2222222222222;22.2222222222222;0;5.55555555555556;0;27.7777777777778;0;0;0;0;2.77777777777778;69.4444444444444;0;100
"051010996MM";2.77777777777778;9;23.3333333333333;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"051070415MM";11.3333333333333;24;61.5;4;0;0;0;0;0;100;0;0;0;0;0;0;3.57142857142857;0;0;10.7142857142857;85.7142857142857;85.7142857142857;14.2857142857143
"0522139637M";10.5277777777778;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"053070110MM";9.08333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"053070965MM";12.1388888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;100;0
"053080095MM";11.1388888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;38.8888888888889;0;0;61.1111111111111;0;0;100
"054070489MM";9.33333333333333;33;31;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"054080017MM";6.16666666666667;6;33;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;14.2857142857143;85.7142857142857;100;0
"055020059MM";15.1388888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"055020077MM";10.5555555555556;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
